seconds,x,y
0.0,19,42
1.0,19,43
2.0,19,43
3.0,22,41
4.0,19,43
5.0,18,44
6.0,22,42
7.0,19,44
8.0,18,44
9.0,21,43
10.0,21,43
11.0,19,44
12.0,22,43
13.0,21,43
14.0,22,43
15.0,21,43
16.0,18,45
17.0,21,43
18.0,21,43
19.0,21,43
20.0,21,43
21.0,25,40
22.0,18,44
23.0,18,44
24.0,18,44
25.0,20,43
26.0,21,42
27.0,18,44
28.0,20,43
29.0,20,43
30.0,20,43
31.0,20,43
32.0,20,43
33.0,20,43
34.0,20,43
35.0,20,43
36.0,20,43
37.0,20,43
38.0,20,43
39.0,20,43
40.0,20,43
41.0,20,43
42.0,19,43
43.0,20,43
44.0,19,43
45.0,19,43
46.0,20,43
47.0,19,43
48.0,20,43
49.0,19,43
50.0,19,43
51.0,19,43
52.0,19,43
53.0,18,44
54.0,19,43
55.0,19,43
56.0,19,43
57.0,18,44
58.0,18,44
59.0,18,44
60.0,18,44
61.0,18,44
62.0,18,44
63.0,18,44
64.0,18,44
65.0,17,44
66.0,17,44
67.0,17,44
68.0,17,44
69.0,10,50
70.0,17,44
71.0,17,44
72.0,19,43
73.0,18,43
74.0,18,43
75.0,10,50
76.0,10,50
77.0,17,44
78.0,17,44
79.0,18,43
80.0,10,50
81.0,9,50
82.0,10,50
83.0,10,50
84.0,10,50
85.0,9,51
86.0,18,42
87.0,18,43
88.0,9,51
89.0,16,44
90.0,17,44
91.0,9,51
92.0,17,43
93.0,9,51
94.0,17,43
95.0,16,44
96.0,9,51
97.0,17,42
98.0,9,51
99.0,9,51
100.0,18,42
101.0,17,42
102.0,18,42
103.0,18,42
104.0,18,42
105.0,17,43
106.0,17,43
107.0,17,43
108.0,17,43
109.0,17,42
110.0,17,43
111.0,17,43
112.0,17,42
113.0,17,42
114.0,17,42
115.0,17,42
116.0,17,42
117.0,17,42
118.0,17,43
119.0,17,42
120.0,17,43
121.0,17,42
122.0,17,43
123.0,17,43
124.0,17,42
125.0,17,42
126.0,17,42
127.0,17,42
128.0,17,42
129.0,17,42
130.0,17,42
131.0,17,42
132.0,17,42
133.0,17,42
134.0,17,42
135.0,17,42
136.0,17,42
137.0,16,43
138.0,17,43
139.0,17,42
140.0,16,43
141.0,16,43
142.0,16,43
143.0,17,42
144.0,16,43
145.0,16,43
146.0,16,43
147.0,16,43
148.0,16,43
149.0,16,44
150.0,7,51
151.0,16,44
152.0,16,44
153.0,16,44
154.0,7,51
155.0,7,51
156.0,7,51
157.0,16,44
158.0,16,43
159.0,16,43
160.0,16,43
161.0,15,44
162.0,15,44
163.0,16,44
164.0,15,44
165.0,15,44
166.0,15,44
167.0,15,44
168.0,15,44
169.0,15,44
170.0,15,44
171.0,15,44
172.0,5,52
173.0,5,52
174.0,5,52
175.0,5,52
176.0,5,52
177.0,5,52
178.0,5,52
179.0,5,52
180.0,14,45
181.0,13,45
182.0,14,45
183.0,14,45
184.0,14,45
185.0,4,52
186.0,4,52
187.0,4,52
188.0,6,50
189.0,9,48
190.0,6,50
191.0,4,52
192.0,9,48
193.0,3,53
194.0,12,46
195.0,12,46
196.0,3,53
197.0,7,50
198.0,12,46
199.0,3,53
200.0,3,53
201.0,8,49
202.0,8,49
203.0,8,49
204.0,8,50
205.0,11,47
206.0,8,50
207.0,8,50
208.0,11,47
209.0,7,50
210.0,10,48
211.0,11,47
212.0,6,51
213.0,7,51
214.0,7,50
215.0,7,50
216.0,10,48
217.0,6,52
218.0,6,51
219.0,9,49
220.0,6,52
221.0,6,52
222.0,6,52
223.0,6,52
224.0,6,52
225.0,5,52
226.0,6,52
227.0,6,52
228.0,5,52
229.0,5,53
230.0,5,52
231.0,5,52
232.0,5,53
233.0,5,52
234.0,6,52
235.0,5,53
236.0,6,52
237.0,5,52
238.0,5,52
239.0,5,52
240.0,5,52
241.0,5,52
242.0,5,52
243.0,5,52
244.0,5,52
245.0,4,53
246.0,5,52
247.0,5,52
248.0,3,54
249.0,4,53
250.0,4,53
251.0,4,53
252.0,4,53
253.0,6,51
254.0,4,53
255.0,3,54
256.0,4,53
257.0,5,52
258.0,6,51
259.0,6,51
260.0,5,52
261.0,3,55
262.0,3,55
263.0,3,55
264.0,3,55
265.0,4,53
266.0,2,55
267.0,3,54
268.0,4,53
269.0,5,51
270.0,4,52
271.0,4,53
272.0,4,52
273.0,3,53
274.0,4,52
275.0,4,52
276.0,3,53
277.0,8,48
278.0,3,53
279.0,3,53
280.0,8,48
281.0,5,51
282.0,5,51
283.0,8,48
284.0,5,52
285.0,5,51
286.0,5,51
287.0,5,51
288.0,5,51
289.0,5,52
290.0,5,51
291.0,5,51
292.0,5,51
293.0,6,50
294.0,6,50
295.0,6,50
296.0,6,50
297.0,4,52
298.0,4,52
299.0,4,52
300.0,6,50
301.0,4,52
302.0,4,52
303.0,4,52
304.0,6,50
305.0,6,50
306.0,6,50
307.0,6,50
308.0,6,50
309.0,5,51
310.0,6,51
311.0,6,50
312.0,5,51
313.0,5,51
314.0,3,53
315.0,5,51
316.0,3,53
317.0,5,51
318.0,5,51
319.0,3,53
320.0,5,51
321.0,5,51
322.0,5,51
323.0,5,51
324.0,5,51
325.0,5,51
326.0,5,51
327.0,5,51
328.0,5,51
329.0,5,51
330.0,5,51
331.0,5,51
332.0,5,51
333.0,5,51
334.0,5,52
335.0,5,51
336.0,5,51
337.0,5,51
338.0,5,51
339.0,5,51
340.0,5,51
341.0,5,51
342.0,5,51
343.0,5,51
344.0,5,51
345.0,5,51
346.0,5,51
347.0,5,51
348.0,5,51
349.0,5,51
350.0,5,51
351.0,6,51
352.0,5,51
353.0,5,51
354.0,5,51
355.0,5,51
356.0,6,51
357.0,6,51
358.0,5,51
359.0,5,51
360.0,6,51
361.0,5,51
362.0,6,51
363.0,5,52
364.0,5,51
365.0,5,51
366.0,5,52
367.0,4,53
368.0,5,52
369.0,5,52
370.0,5,52
371.0,4,53
372.0,2,55
373.0,4,53
374.0,2,55
375.0,4,53
376.0,2,55
377.0,4,53
378.0,2,55
379.0,5,52
380.0,5,52
381.0,5,52
382.0,5,52
383.0,7,49
384.0,7,49
385.0,3,53
386.0,7,49
387.0,7,49
388.0,7,49
389.0,7,49
390.0,7,49
391.0,2,55
392.0,2,55
393.0,7,50
394.0,2,55
395.0,2,55
396.0,2,55
397.0,2,55
398.0,2,55
399.0,1,56
400.0,2,55
401.0,2,55
402.0,2,55
403.0,4,53
404.0,1,56
405.0,1,56
406.0,2,55
407.0,3,54
408.0,3,54
409.0,3,54
410.0,3,55
411.0,3,55
412.0,3,54
413.0,3,55
414.0,3,55
415.0,2,56
416.0,2,56
417.0,3,55
418.0,2,56
419.0,1,57
420.0,2,56
421.0,2,56
422.0,1,57
423.0,4,55
424.0,2,56
425.0,2,56
426.0,4,54
427.0,4,55
428.0,4,55
429.0,4,55
430.0,3,55
431.0,6,52
432.0,4,54
433.0,4,54
434.0,6,52
435.0,3,56
436.0,1,59
437.0,3,55
438.0,1,59
439.0,3,56
440.0,3,56
441.0,3,56
442.0,3,56
443.0,3,57
444.0,3,56
445.0,3,56
446.0,3,56
447.0,3,57
448.0,3,57
449.0,3,57
450.0,3,57
451.0,2,57
452.0,2,57
453.0,2,57
454.0,2,57
455.0,3,57
456.0,3,57
457.0,3,57
458.0,3,57
459.0,3,57
460.0,3,57
461.0,3,57
462.0,3,57
463.0,2,57
464.0,2,57
465.0,2,57
466.0,2,57
467.0,2,57
468.0,2,57
469.0,2,57
470.0,2,57
471.0,3,57
472.0,3,57
473.0,2,57
474.0,3,57
475.0,3,57
476.0,3,57
477.0,3,57
478.0,3,57
479.0,3,57
480.0,2,57
481.0,2,57
482.0,2,57
483.0,2,57
484.0,2,57
485.0,2,57
486.0,2,57
487.0,2,57
488.0,2,57
489.0,2,57
490.0,2,57
491.0,2,57
492.0,2,57
493.0,2,57
494.0,2,57
495.0,2,57
496.0,2,57
497.0,3,57
498.0,3,57
499.0,3,57
500.0,3,57
501.0,2,57
502.0,2,57
503.0,2,57
504.0,2,57
505.0,2,58
506.0,2,57
507.0,2,57
508.0,2,57
509.0,2,57
510.0,2,58
511.0,2,58
512.0,2,58
513.0,2,58
514.0,2,58
515.0,2,58
516.0,2,58
517.0,2,58
518.0,2,58
519.0,2,58
520.0,2,58
521.0,2,58
522.0,2,58
523.0,2,58
524.0,2,58
525.0,2,59
526.0,2,59
527.0,2,59
528.0,2,59
529.0,2,59
530.0,2,59
531.0,2,59
532.0,2,59
533.0,2,60
534.0,2,59
535.0,2,59
536.0,2,59
537.0,2,59
538.0,2,59
539.0,2,59
540.0,2,59
541.0,2,60
542.0,2,59
543.0,2,59
544.0,2,59
545.0,2,59
546.0,2,60
547.0,2,60
548.0,2,59
549.0,2,60
550.0,2,60
551.0,2,60
552.0,2,60
553.0,1,61
554.0,2,60
555.0,1,61
556.0,2,60
557.0,2,61
558.0,1,61
559.0,1,61
560.0,1,61
561.0,1,61
562.0,1,61
563.0,1,61
564.0,1,61
565.0,1,61
566.0,1,61
567.0,1,61
568.0,1,61
569.0,1,61
570.0,1,61
571.0,1,61
572.0,1,61
573.0,2,61
574.0,1,61
575.0,1,61
576.0,1,61
577.0,2,61
578.0,2,61
579.0,2,61
580.0,2,61
581.0,2,61
582.0,2,61
583.0,2,61
584.0,2,61
585.0,2,61
586.0,2,61
587.0,2,61
588.0,1,61
589.0,2,61
590.0,2,61
591.0,2,61
592.0,2,61
593.0,2,61
594.0,2,61
595.0,2,61
596.0,2,61
597.0,2,61
598.0,2,61
599.0,2,61
600.0,2,61
601.0,2,61
602.0,2,61
603.0,2,61
604.0,2,61
605.0,2,61
606.0,2,61
607.0,2,61
608.0,2,61
609.0,2,61
610.0,2,61
611.0,2,61
612.0,2,61
613.0,2,61
614.0,2,61
615.0,2,61
616.0,2,61
617.0,2,61
618.0,2,61
619.0,2,61
620.0,2,61
621.0,2,62
622.0,2,61
623.0,2,61
624.0,2,61
625.0,2,62
626.0,2,62
627.0,2,62
628.0,2,62
629.0,2,62
630.0,2,62
631.0,2,62
632.0,2,62
633.0,2,62
634.0,2,62
635.0,2,62
636.0,2,62
637.0,2,62
638.0,2,62
639.0,2,62
640.0,2,62
641.0,2,62
642.0,2,62
643.0,2,62
644.0,2,62
645.0,2,62
646.0,2,62
647.0,2,62
648.0,2,62
649.0,2,62
650.0,2,62
651.0,2,62
652.0,2,62
653.0,2,62
654.0,2,62
655.0,2,62
656.0,2,62
657.0,2,62
658.0,2,62
659.0,2,62
660.0,2,62
661.0,2,62
662.0,2,62
663.0,2,62
664.0,2,62
665.0,2,62
666.0,2,62
667.0,2,62
668.0,2,62
669.0,2,62
670.0,2,62
671.0,2,62
672.0,2,62
673.0,2,62
674.0,2,62
675.0,2,62
676.0,2,62
677.0,2,62
678.0,2,62
679.0,2,62
680.0,2,62
681.0,2,62
682.0,2,62
683.0,2,62
684.0,2,62
685.0,2,62
686.0,2,62
687.0,2,62
688.0,2,62
689.0,2,62
690.0,2,62
691.0,2,62
692.0,2,62
693.0,2,62
694.0,2,62
695.0,2,62
696.0,2,62
697.0,2,62
698.0,2,62
699.0,2,62
700.0,2,62
701.0,2,62
702.0,2,62
703.0,2,62
704.0,2,62
705.0,2,62
706.0,2,62
707.0,2,62
708.0,2,62
709.0,2,62
710.0,2,62
711.0,2,62
712.0,2,62
713.0,2,62
714.0,2,62
715.0,2,62
716.0,2,62
717.0,2,62
718.0,2,62
719.0,2,62
720.0,2,62
721.0,2,62
